ToDrop,State,County,LifeExpectancy,LifeExpectancyStandardError
405,Alabama,"Jefferson County, AL",68.8,2.1527
406,Alabama,"Jefferson County, AL",71.3,1.2367
407,Alabama,"Jefferson County, AL",72.7,1.2431
408,Alabama,"Jefferson County, AL",71.6,2.3587
409,Alabama,"Jefferson County, AL",71.3,1.1454
410,Alabama,"Jefferson County, AL",77.1,2.2609
411,Alabama,"Jefferson County, AL",80.2,1.6081
412,Alabama,"Jefferson County, AL",73.1,2.4279
413,Alabama,"Jefferson County, AL",69.0,2.4673
414,Alabama,"Jefferson County, AL",66.6,2.8566
415,Alabama,"Jefferson County, AL",73.1,1.1173
416,Alabama,"Jefferson County, AL",70.7,1.8748
417,Alabama,"Jefferson County, AL",70.4,1.9552
418,Alabama,"Jefferson County, AL",72.3,2.293
419,Alabama,"Jefferson County, AL",73.5,2.6268
420,Alabama,"Jefferson County, AL",73.2,1.7977
421,Alabama,"Jefferson County, AL",71.5,1.3661
422,Alabama,"Jefferson County, AL",71.7,1.4403
423,Alabama,"Jefferson County, AL",73.4,1.5439
424,Alabama,"Jefferson County, AL",73.9,1.6505
425,Alabama,"Jefferson County, AL",70.6,1.804
426,Alabama,"Jefferson County, AL",71.6,1.9902
427,Alabama,"Jefferson County, AL",68.0,1.62
428,Alabama,"Jefferson County, AL",69.4,2.8563
429,Alabama,"Jefferson County, AL",72.8,3.5463
430,Alabama,"Jefferson County, AL",78.30946714719724,1.8558322362542448
431,Alabama,"Jefferson County, AL",81.1,1.7421
432,Alabama,"Jefferson County, AL",80.1,1.3382
433,Alabama,"Jefferson County, AL",72.2,3.3237
434,Alabama,"Jefferson County, AL",70.4,2.0426
435,Alabama,"Jefferson County, AL",72.8,1.8019
436,Alabama,"Jefferson County, AL",72.1,2.2017
437,Alabama,"Jefferson County, AL",72.3,1.7543
438,Alabama,"Jefferson County, AL",73.3,3.234
439,Alabama,"Jefferson County, AL",71.1,1.5642
440,Alabama,"Jefferson County, AL",74.4,3.615
441,Alabama,"Jefferson County, AL",66.5,1.9231
442,Alabama,"Jefferson County, AL",75.7,1.3587
443,Alabama,"Jefferson County, AL",69.2,2.4554
444,Alabama,"Jefferson County, AL",67.6,2.1056
445,Alabama,"Jefferson County, AL",76.8,1.7202
446,Alabama,"Jefferson County, AL",72.6,1.8336
447,Alabama,"Jefferson County, AL",71.5,3.5236
448,Alabama,"Jefferson County, AL",75.7,1.4989
449,Alabama,"Jefferson County, AL",73.2,1.6014
450,Alabama,"Jefferson County, AL",75.7,1.6974
451,Alabama,"Jefferson County, AL",73.6,1.2346
452,Alabama,"Jefferson County, AL",71.2,1.4306
453,Alabama,"Jefferson County, AL",72.2,1.2437
454,Alabama,"Jefferson County, AL",72.0,1.2215
455,Alabama,"Jefferson County, AL",70.2,1.6375
456,Alabama,"Jefferson County, AL",68.4,3.4651
457,Alabama,"Jefferson County, AL",69.1,1.5177
458,Alabama,"Jefferson County, AL",68.3,1.5803
459,Alabama,"Jefferson County, AL",75.7,0.9688
460,Alabama,"Jefferson County, AL",78.30946714719724,1.8558322362542448
461,Alabama,"Jefferson County, AL",72.7,1.7053
462,Alabama,"Jefferson County, AL",73.8,2.2626
463,Alabama,"Jefferson County, AL",78.8,2.468
464,Alabama,"Jefferson County, AL",79.6,2.1211
465,Alabama,"Jefferson County, AL",81.2,2.0115
466,Alabama,"Jefferson County, AL",78.30946714719724,1.8558322362542448
467,Alabama,"Jefferson County, AL",80.3,2.0622
468,Alabama,"Jefferson County, AL",79.1,1.6181
469,Alabama,"Jefferson County, AL",82.3,1.5857
470,Alabama,"Jefferson County, AL",83.0,1.534
471,Alabama,"Jefferson County, AL",78.4,1.8104
472,Alabama,"Jefferson County, AL",80.3,1.4428
473,Alabama,"Jefferson County, AL",82.1,1.2045
474,Alabama,"Jefferson County, AL",69.3,3.0262
475,Alabama,"Jefferson County, AL",74.9,1.2619
476,Alabama,"Jefferson County, AL",71.2,1.6147
477,Alabama,"Jefferson County, AL",76.1,1.5067
478,Alabama,"Jefferson County, AL",78.8,1.0694
479,Alabama,"Jefferson County, AL",79.4,1.1002
480,Alabama,"Jefferson County, AL",78.30946714719724,1.8558322362542448
481,Alabama,"Jefferson County, AL",77.6,1.8534
482,Alabama,"Jefferson County, AL",79.2,1.6002
483,Alabama,"Jefferson County, AL",73.3,1.5293
484,Alabama,"Jefferson County, AL",77.8,1.5634
485,Alabama,"Jefferson County, AL",75.9,2.3769
486,Alabama,"Jefferson County, AL",75.4,1.4593
487,Alabama,"Jefferson County, AL",71.7,1.415
488,Alabama,"Jefferson County, AL",73.5,1.6447
489,Alabama,"Jefferson County, AL",74.1,2.0189
490,Alabama,"Jefferson County, AL",74.3,0.8583
491,Alabama,"Jefferson County, AL",73.2,1.3157
492,Alabama,"Jefferson County, AL",73.9,1.593
493,Alabama,"Jefferson County, AL",72.5,1.5209
494,Alabama,"Jefferson County, AL",79.4,1.3164
495,Alabama,"Jefferson County, AL",76.0,1.3607
496,Alabama,"Jefferson County, AL",74.4,1.0789
497,Alabama,"Jefferson County, AL",72.4,2.049
498,Alabama,"Jefferson County, AL",73.6,1.5099
499,Alabama,"Jefferson County, AL",72.6,1.3772
500,Alabama,"Jefferson County, AL",75.0,2.0616
501,Alabama,"Jefferson County, AL",69.4,1.5733
502,Alabama,"Jefferson County, AL",75.1,1.7095
503,Alabama,"Jefferson County, AL",74.2,1.4396
504,Alabama,"Jefferson County, AL",76.3,1.1695
505,Alabama,"Jefferson County, AL",67.1,2.4936
506,Alabama,"Jefferson County, AL",72.2,1.4184
507,Alabama,"Jefferson County, AL",74.0,1.0305
508,Alabama,"Jefferson County, AL",69.4,1.7751
509,Alabama,"Jefferson County, AL",75.8,2.0033
510,Alabama,"Jefferson County, AL",72.3,1.4165
511,Alabama,"Jefferson County, AL",73.0,1.3895
512,Alabama,"Jefferson County, AL",70.5,1.8296
513,Alabama,"Jefferson County, AL",73.9,1.4393
514,Alabama,"Jefferson County, AL",69.6,1.1764
515,Alabama,"Jefferson County, AL",72.1,1.8925
516,Alabama,"Jefferson County, AL",75.6,1.3764
517,Alabama,"Jefferson County, AL",80.1,1.3339
518,Alabama,"Jefferson County, AL",76.2,1.4401
519,Alabama,"Jefferson County, AL",78.5,1.9078
520,Alabama,"Jefferson County, AL",79.6,1.9423
